"id","function_id","object_id"
15458,138,2486
15463,64,2445
15467,5,2352
15475,90,2228
15479,89,2215
15872,2,4084
15879,2,5217
15886,2,8656
20891,63,2268
15691,191,2044
4289,54,2261
5967,3,2964
4293,123,2266
15700,2,4067
21030,5,10856
17661,2,4053
4299,63,2270
4300,140,2271
4301,63,2272
4302,90,2273
4303,96,2274
4304,90,2275
4307,15,2278
4308,133,2279
4310,7,2281
4311,5,2282
4312,133,2284
4313,133,2285
4705,6,1478
4316,4,2286
4317,7,2287
10541,89,5391
4319,8,2289
4320,136,2290
4740,41,1881
21042,160,10941
18282,2,8700
4325,89,2295
15329,61,1803
6347,119,3191
4329,123,2299
4330,20,2300
4332,145,2301
4333,28,2303
5928,155,2389
4336,144,2305
4337,7,2306
4338,93,2307
4344,89,2310
4349,20,2313
4350,20,2314
4351,26,2315
4352,26,2316
4354,83,2318
10978,3,3141
